"food_nutrient_conversion_factor_id","protein_value","fat_value","carbohydrate_value"
"11757","3.36","8.37","3.92"
"11758","3.36","8.37","3.6"
"11759","3.36","8.37","3.75"
"11760","3.36","8.37","3.92"
"11761","3.36","8.37","3.92"
"11762","3.36","8.37","3.6"
"11763","3.36","8.37","3.6"
"11764","3.36","8.37","3.8"
"11765","3.36","8.37","3.8"
"11766","3.36","8.37","3.8"
"11767","3.36","8.37","3.92"
"11768","3.36","8.37","3.6"
"11769","3.36","8.37","3.6"
"11770","3.36","8.37","3.6"
"11771","3.36","8.37","3.6"
"11772","3.36","8.37","3.92"
"11773","3.36","8.37","3.92"
"11774","3.36","8.37","3.92"
"11775","3.36","8.37","3.92"
"11776","3.36","8.37","2.7"
"11777","3.36","8.37","3.84"
"11778","3.36","8.37","3.84"
"11779","3.36","8.37","3.92"
"11780","3.36","8.37","3.6"
"11781","3.36","8.37","3.92"
"11782","3.36","8.37","3.75"
"11783","3.36","8.37","3.75"
"11784","4.27","9.02","3.87"
"11785","4.27","9.02","3.87"
"11786","4.27","9.02","3.87"
"11787","4.27","9.02","3.87"
"11788","4.27","9.02","3.87"
"11789","4.27","9.02","3.87"
"11790","4.27","9.02","3.87"
"11791","4.27","9.02","3.87"
"11792","4.27","9.02","3.87"
"11793","4.27","9.02","3.87"
"11794","4.27","9.02","3.87"
"11795","4.27","9.02","3.87"
"11796","4.27","9.02","3.87"
"11797","4.27","9.02","3.87"
"11798","4.27","9.02","3.87"
"11799","4.27","9.02","3.87"
"11800","4.27","9.02","3.87"
"11801","4.27","9.02","3.87"
"11802","4.27","9.02","3.87"
"11803","4.27","9.02","3.87"
"11804","4.27","9.02","3.87"
"11805","4.27","9.02","3.87"
"11806","4.27","9.02","3.87"
"11807","4.27","9.02","3.87"
"11808","4.27","9.02","3.87"
"11809","4.27","9.02","3.87"
"11810","4.27","9.02","3.87"
"11811","4.27","9.02","3.87"
"11812","4.27","9.02","3.87"
"11813","4.27","9.02","3.87"
"11814","4.27","9.02","3.87"
"11815","4.27","9.02","3.87"
"11816","4.27","9.02","3.87"
"11817","4.27","9.02","3.87"
"11818","4.27","9.02","3.87"
"11819","4.27","9.02","3.87"
"11820","4.27","9.02","3.87"
"11821","4.27","9.02","3.87"
"11822","4.27","9.02","3.87"
"11823","4.27","9.02","3.87"
"11824","4.27","9.02","3.87"
"11825","4.27","9.02","3.87"
"11826","4.27","9.02","3.87"
"11827","4.27","9.02","3.87"
"11828","4.27","9.02","3.87"
"11829","4.27","9.02","3.87"
"11830","4.27","9.02","3.87"
"11831","4.27","9.02","3.87"
"11832","4.27","9.02","3.87"
"11833","4.27","9.02","3.87"
"11834","4.27","9.02","3.87"
"11835","4.27","9.02","3.87"
"11836","4.27","9.02","3.87"
"11837","4.27","9.02","3.87"
"11838","4.27","9.02","3.87"
"11839","4.27","9.02","3.87"
"11840","4.27","9.02","3.87"
"11841","4.27","9.02","3.87"
"11842","4.27","9.02","3.87"
"11843","4.27","9.02","3.87"
"11844","4.27","9.02","3.87"
"11845","4.27","9.02","3.87"
"11846","4.27","9.02","3.87"
"11847","4.27","9.02","3.87"
"11848","4.27","9.02","3.87"
"11849","4.27","9.02","3.87"
"11850","4.27","9.02","3.87"
"11851","4.27","9.02","3.87"
"11852","4.27","9.02","3.87"
"11853","4.27","9.02","3.87"
"11854","4.27","9.02","3.87"
"11855","4.27","9.02","3.87"
"11856","4.27","9.02","3.87"
"11857","4.27","9.02","3.87"
"11858","4.27","9.02","3.87"
"11859","4.27","9.02","3.87"
"11860","4.27","9.02","3.87"
"11861","4.27","9.02","3.87"
"11862","4.27","9.02","3.87"
"11863","4.27","9.02","3.87"
"11864","4.27","9.02","3.87"
"11865","4.27","9.02","3.87"
"11866","4.27","9.02","3.87"
"11867","4.27","9.02","3.87"
"11868","4.27","9.02","3.87"
"11869","4.27","9.02","3.87"
"11870","4.27","9.02","3.87"
"11871","4.27","9.02","3.87"
"11872","4.27","9.02","3.87"
"11873","4.27","9.02","3.87"
"11874","4.27","9.02","3.87"
"11875","4.27","9.02","3.87"
"11876","4.27","9.02","3.87"
"11877","4.27","9.02","3.87"
"11878","4.27","9.02","3.87"
"11879","4.27","9.02","3.87"
"11880","4.27","9.02","3.87"
"11881","4.27","9.02","3.87"
"11882","4","9","4"
"11883","4","9","4"
"11884","4","9","4"
"11885","4.27","9.02","3.87"
"11886","4.27","9.02","3.87"
"11887","4.27","9.02","3.87"
"11888","4","9","4"
"11889","4","9","4"
"11890","4","9","4"
"11891","3.4","8.5","3.7"
"11892","3.4","8.5","3.7"
"11893","3.5","8.8","4.2"
"11894","4","8.8","4.1"
"11895","2.7","8.7","4"
"11896","3.4","8.6","3.7"
"11897","3.4","8.5","3.8"
"11898","3.5","8.6","4"
"11899","3.5","8.4","4"
"11900","2.73","8.37","4.03"
"11901","3","8.8","4"
"11902","4.27","9.02","3.87"
"11903","2.4","8.7","3.6"
"11904","3.9","8.8","3.9"
"11905","3.5","8.5","3.7"
"11906","3.41","8.37","4.12"
"11907","3.4","8.4","4"
"11908","3.5","8.4","3.7"
"11909","2.9","8.7","3.9"
"11910","4","9","4"
"11911","4","9","4"
"11912","4","9","4"
"11913","4.3","8.6","3.8"
"11914","1.83","8.5","3.4"
"11915","1.83","8.6","3.4"
"11916","3.1","8.4","3.5"
"11917","4","9","4"
"11918","4","9","4"
"11919","3.47","8.37","4.07"
"11920","4.27","8.79","3.87"
"11921","4","9","4"
"11922","4","9","4"
"11923","4","9","4"
"11924","4","9","4"
"11925","3.7","8.6","3.8"
"11926","3.9","8.4","3.8"
"11927","4","8.5","3.9"
"11928","2","8.4","3.7"
"11929","3.6","8.6","3.7"
"11930","4.1","8.8","4"
"11931","4","9","4"
"11932","4","9","4"
"11933","4","9","4"
"11934","4","9","4"
"11935","4","9","4"
"11936","4","9","4"
"11937","4.27","8.79","3.87"
"11938","4.27","8.79","3.87"
"11939","4.27","9.02","3.87"
"11940","2.44","8.84","3.8"
"11941","4.27","9.02","3.87"
"11942","4.36","8.84","3.8"
"11943","4","9","4"
"11944","3.36","8.37","3.6"
"11945","4","9","4"
"11946","4.1","8.9","4.1"
"11947","4","9","4"
"11948","4.1","8.9","4.1"
"11949","0","0","3.66"
"11950","4","9","4"
"11951","4","9","4"
"11952","3.36","8.37","3.6"
"11953","3.36","8.37","3.6"
"11954","3.36","8.37","3.6"
"11955","3.36","8.37","3.6"
"11956","3.36","8.37","3.6"
"11957","3.36","8.37","2.48"
"11958","3.36","8.37","2.7"
"11959","3.36","8.37","2.7"
"11960","3.36","8.37","3.6"
"11961","3.36","8.37","3.75"
"11962","3.36","8.37","3.6"
"11963","3.36","8.37","3.6"
"11964","3.36","8.37","3.6"
"11965","3.36","8.37","3.6"
"11966","3.36","8.37","3.6"
"11967","3.36","8.37","3.6"
"11968","3.36","8.37","3.6"
"11969","3.36","8.37","3.75"
"11970","3.36","8.37","3.6"
"11971","3.36","8.37","3.78"
"11972","3.36","8.37","3.6"
"11973","3.36","8.37","3.6"
"11974","3.36","8.37","3.75"
"11975","3.36","8.37","3.6"
"11976","3.36","8.37","3.6"
"11977","3.36","8.37","3.6"
"11978","3.36","8.37","3.6"
"11979","3.36","8.37","3.6"
"11980","3.36","8.37","3.6"
"11981","3.36","8.37","3.6"
"11982","3.36","8.37","3.6"
"11983","3.36","8.37","3.75"
"11984","3.36","8.37","3.75"
"11985","3.36","8.37","3.75"
"11986","3.36","8.37","3.7"
"11987","3.36","8.37","3.79"
"11988","3.36","8.37","3.75"
"11989","3.36","8.37","3.92"
"11990","3.36","8.37","3.92"
"11991","3.36","8.37","3.92"
"11992","3.36","8.37","3.75"
"11993","3.36","8.37","3.6"
"11994","3.36","8.37","3.6"
"11995","3.36","8.37","3.6"
"11996","3.36","8.37","3.6"
"11997","3.36","8.37","3.6"
"11998","3.36","8.37","3.8"
"11999","3.36","8.37","3.92"
"12000","3.36","8.37","3.92"
"12001","4","9","4"
"12002","4","9","4"
"12003","3.36","8.37","3.92"
"12004","3.36","8.37","3.92"
"12005","3.36","8.37","3.6"
"12006","3.36","8.37","3.6"
"12007","3.36","8.37","3.92"
"12008","3.36","8.37","3.92"
"12009","3.36","8.37","3.92"
"12010","2.78","8.37","4.03"
"12011","2.78","8.37","4.03"
"12012","3.36","8.37","3.75"
"12013","4.27","9.02","3.87"
"12014","4.27","9.02","3.87"
"12015","4.27","9.02","3.87"
"12016","4.27","9.02","3.87"
"12017","4.27","9.02","3.87"
"12018","4.27","9.02","3.87"
"12019","4.27","9.02","3.87"
"12020","4.27","9.02","3.87"
"12021","4.27","9.02","3.87"
"12022","4.27","9.02","3.87"
"12023","4.27","9.02","3.87"
"12024","4.27","9.02","3.87"
"12025","4.27","9.02","3.87"
"12026","4.27","9.02","3.87"
"12027","4.27","9.02","3.87"
"12028","4.27","9.02","3.87"
"12029","4.27","9.02","3.87"
"12030","4.27","9.02","3.87"
"12031","4.27","9.02","3.87"
"12032","4.27","9.02","3.87"
"12033","4.27","9.02","3.87"
"12034","4.27","9.02","3.87"
"12035","4.27","9.02","3.87"
"12036","4.27","9.02","3.87"
"12037","4.27","9.02","3.87"
"12038","4.27","9.02","3.87"
"12039","4.27","9.02","3.87"
"12040","4.27","9.02","3.87"
"12041","4.27","9.02","3.87"
"12042","4.27","9.02","3.87"
"12043","4.27","9.02","3.87"
"12044","4.27","9.02","3.87"
"12045","4.27","9.02","3.87"
"12046","4.27","9.02","3.87"
"12047","4.27","9.02","3.87"
"12048","4.27","9.02","3.87"
"12049","4.27","9.02","3.87"
"12050","4.27","9.02","3.87"
"12051","4.27","9.02","3.87"
"12052","4.27","9.02","3.87"
"12053","4.27","9.02","3.87"
"12054","4.27","9.02","3.87"
"12055","4.27","9.02","3.87"
"12056","4.27","9.02","3.87"
"12057","4.27","9.02","3.87"
"12058","4.27","9.02","3.87"
"12059","4.27","9.02","3.87"
"12060","4.27","9.02","3.87"
"12061","4.27","9.02","3.87"
"12062","4.27","9.02","3.87"
"12063","4.27","9.02","3.87"
"12064","4.27","9.02","3.87"
"12065","4.27","9.02","3.87"
"12066","4.27","9.02","3.87"
"12067","4.27","9.02","3.87"
"12068","4.27","9.02","4.11"
"12069","4.27","9.02","4.11"
"12070","4.27","9.02","3.87"
"12071","4.27","9.02","3.87"
"12072","4.27","9.02","3.87"
"12073","4.27","9.02","3.87"
"12074","4.27","9.02","3.87"
"12075","4.27","9.02","3.87"
"12076","4.27","9.02","3.87"
"12077","4.27","9.02","3.87"
"12078","4.27","9.02","3.87"
"12079","4.27","9.02","3.87"
"12080","4.27","9.02","3.87"
"12081","4.27","9.02","3.87"
"12082","4.27","9.02","3.87"
"12083","4.27","9.02","3.87"
"12084","4.27","9.02","3.87"
"12085","4.27","9.02","3.87"
"12086","4.27","9.02","3.87"
"12087","4.27","9.02","3.87"
"12088","4.27","9.02","3.87"
"12089","4.27","9.02","3.87"
"12090","4.27","9.02","3.87"
"12091","4.27","9.02","3.87"
"12092","4.27","9.02","3.87"
"12093","4.27","9.02","3.87"
"12094","4.27","9.02","3.87"
"12095","4.27","9.02","3.87"
"12096","4.27","9.02","3.87"
"12097","4.27","9.02","3.87"
"12098","4.27","9.02","3.87"
"12099","4.27","9.02","3.87"
"12100","4.27","9.02","3.87"
"12101","4.27","9.02","3.87"
"12102","4.27","9.02","3.87"
"12103","4.27","9.02","3.87"
"12104","4.27","9.02","3.87"
"12105","4.27","9.02","3.87"
"12106","4.27","9.02","3.87"
"12107","4","9","4"
"12108","4","9","4"
"12109","4","9","4"
"12110","4","9","4"
"12111","4.27","9.02","3.87"
"12112","4.27","9.02","3.87"
"12113","4.27","9.02","3.87"
"12114","4.27","9.02","3.87"
"12115","4.27","9.02","3.87"
"12116","4.27","9.02","3.87"
"12117","4.27","9.02","3.87"
"12118","4.27","9.02","3.87"
"12119","4.27","9.02","3.87"
"12120","4.27","9.02","3.87"
"12121","4.27","9.02","3.87"
"12122","2.44","8.37","3.57"
"12123","2.44","8.37","3.57"
"12124","2.44","8.37","3.57"
"12125","2.44","8.37","3.57"
"12126","2.44","8.37","3.57"
"12127","2.44","8.37","3.57"
"12128","2.44","8.37","3.57"
"12129","2.44","8.37","3.57"
"12130","2.44","8.37","3.57"
"12131","2.44","8.37","3.57"
"12132","2.44","8.37","3.57"
"12133","2.44","8.37","3.57"
"12134","3.47","8.37","4.07"
"12135","2.44","8.37","3.57"
"12136","2.44","8.37","3.57"
"12137","2.44","8.37","3.57"
"12138","2.44","8.37","3.57"
"12139","2.44","8.37","3.57"
"12140","3.47","8.37","4.07"
"12141","3.47","8.37","4.07"
"12142","3.47","8.37","4.07"
"12143","2.44","8.37","3.57"
"12144","2.44","8.37","3.57"
"12145","2.44","8.37","3.57"
"12146","2.44","8.37","3.57"
"12147","2.44","8.37","3.57"
"12148","3.47","8.37","4.07"
"12149","3.47","8.37","4.07"
"12150","2.44","8.37","3.57"
"12151","2.44","8.37","3.57"
"12152","2.44","8.37","3.57"
"12153","2.44","8.37","3.57"
"12154","2.44","8.37","3.57"
"12155","2.44","8.37","3.57"
"12156","2.62","8.37","3.48"
"12157","2.44","8.37","3.57"
"12158","2.44","8.37","3.57"
"12159","2.44","8.37","3.57"
"12160","2.62","8.37","3.48"
"12161","2.62","8.37","3.48"
"12162","2.44","8.37","3.57"
"12163","2.44","8.37","3.57"
"12164","2.44","8.37","3.57"
"12165","2.44","8.37","3.57"
"12166","2.44","8.37","3.57"
"12167","2.44","8.37","3.57"
"12168","2.78","8.37","3.84"
"12169","2.44","8.37","3.57"
"12170","2.78","8.37","3.84"
"12171","2.78","8.37","3.84"
"12172","2.62","8.37","3.48"
"12173","2.62","8.37","3.48"
"12174","2.62","8.37","3.48"
"12175","2.62","8.37","3.48"
"12176","2.44","8.37","3.57"
"12177","2.44","8.37","3.57"
"12178","2.44","8.37","3.57"
"12179","2.44","8.37","3.57"
"12180","2.8","8.8","4"
"12181","2.8","8.8","4"
"12182","2.8","8.8","4"
"12183","2.8","8.8","4"
"12184","2.78","8.37","4.03"
"12185","2.44","8.37","3.57"
"12186","2.44","8.37","3.57"
"12187","2.44","8.37","3.57"
"12188","2.44","8.37","3.57"
"12189","2.78","8.37","3.84"
"12190","2.78","8.37","3.84"
"12191","2.78","8.37","3.84"
"12192","2.78","8.37","3.84"
"12193","2.78","8.37","3.84"
"12194","2.44","8.37","3.57"
"12195","2.44","8.37","3.57"
"12196","2.44","8.37","3.57"
"12197","2.44","8.37","3.57"
"12198","2.44","8.37","3.57"
"12199","2.44","8.37","3.57"
"12200","2.44","8.37","3.57"
"12201","2.44","8.37","3.57"
"12202","2.44","8.37","3.57"
"12203","2.44","8.37","3.57"
"12204","2.44","8.37","3.57"
"12205","2.44","8.37","3.57"
"12206","2.44","8.37","3.57"
"12207","2.44","8.37","3.57"
"12208","2.44","8.37","3.57"
"12209","2.5","8.4","3.7"
"12210","2.44","8.37","3.57"
"12211","2.44","8.37","3.57"
"12212","2.44","8.37","3.57"
"12213","2.44","8.37","3.57"
"12214","2.44","8.37","3.57"
"12215","2.72","8.37","3.71"
"12216","2.72","8.37","3.71"
"12217","2.72","8.37","3.71"
"12218","2.72","8.37","3.71"
"12219","2.72","8.37","3.71"
"12220","2.78","8.37","4.03"
"12221","2.78","8.37","4.03"
"12222","2.78","8.37","4.03"
"12223","2.78","8.37","4.03"
"12224","2.78","8.37","4.03"
"12225","2.44","8.37","3.57"
"12226","2.44","8.37","3.57"
"12227","2.44","8.37","3.57"
"12228","2.78","8.37","3.84"
"12229","2.44","8.37","3.57"
"12230","2.44","8.37","3.57"
"12231","2.78","8.37","3.84"
"12232","2.44","8.37","3.57"
"12233","2.44","8.37","3.57"
"12234","2.44","8.37","3.57"
"12235","2.44","8.37","3.57"
"12236","3.47","8.37","4.07"
"12237","2.44","8.37","3.57"
"12238","2.44","8.37","3.57"
"12239","3.47","8.37","4.07"
"12240","2.44","8.37","3.57"
"12241","2.44","8.37","3.57"
"12242","2.44","8.37","3.57"
"12243","2.44","8.37","3.57"
"12244","2.78","8.37","3.84"
"12245","2.78","8.37","3.84"
"12246","2.44","8.37","3.57"
"12247","2.44","8.37","3.57"
"12248","2.44","8.37","3.57"
"12249","2.44","8.37","3.57"
"12250","2.44","8.37","3.57"
"12251","2.44","8.37","3.57"
"12252","2.44","8.37","3.57"
"12253","2.44","8.37","3.57"
"12254","2.44","8.37","3.57"
"12255","2.44","8.37","3.57"
"12256","2.78","8.37","3.84"
"12257","2.78","8.37","3.84"
"12258","2.44","8.37","3.57"
"12259","2.44","8.37","3.57"
"12260","2.44","8.37","3.57"
"12261","2.44","8.37","3.57"
"12262","2.44","8.37","3.57"
"12263","2.44","8.37","3.57"
"12264","3.47","8.37","4.07"
"12265","3.47","8.37","4.07"
"12266","2.44","8.37","3.57"
"12267","2.44","8.37","3.57"
"12268","2.44","8.37","3.57"
"12269","2.44","8.37","3.57"
"12270","2.44","8.37","3.57"
"12271","3.47","8.37","4.07"
"12272","2.44","8.37","3.57"
"12273","2.44","8.37","3.57"
"12274","2.78","8.37","3.84"
"12275","2.62","8.37","3.48"
"12276","2.44","8.37","3.57"
"12277","2.44","8.37","3.57"
"12278","2.44","8.37","3.57"
"12279","2.44","8.37","3.57"
"12280","2.44","8.37","3.57"
"12281","2.44","8.37","3.57"
"12282","2.44","8.37","3.57"
"12283","2.44","8.37","3.57"
"12284","2.44","8.37","3.57"
"12285","2.44","8.37","3.57"
"12286","2.44","8.37","3.57"
"12287","2.44","8.37","3.57"
"12288","2.44","8.37","3.57"
"12289","2.44","8.37","3.57"
"12290","2.78","8.37","3.84"
"12291","2.44","8.37","3.57"
"12292","2.78","8.37","4.03"
"12293","2.44","8.37","3.57"
"12294","2.62","8.37","3.48"
"12295","2.44","8.37","3.57"
"12296","2.44","8.37","3.57"
"12297","2.44","8.37","3.57"
"12298","2.44","8.37","3.57"
"12299","2.44","8.37","3.57"
"12300","2.44","8.37","3.57"
"12301","2.44","8.37","3.84"
"12302","2.44","8.37","3.57"
"12303","2.44","8.37","3.57"
"12304","2.44","8.37","3.57"
"12305","2.78","8.37","3.84"
"12306","2.44","8.37","3.57"
"12307","2.44","8.37","3.57"
"12308","2.44","8.37","3.57"
"12309","2.44","8.37","3.57"
"12310","2.44","8.37","3.57"
"12311","2.44","8.37","3.57"
"12312","2.44","8.37","3.57"
"12313","2.44","8.37","3.57"
"12314","2.44","8.37","3.57"
"12315","2.44","8.37","3.57"
"12316","2.44","8.37","3.57"
"12317","2.62","8.37","3.48"
"12318","2.62","8.37","3.48"
"12319","2.62","8.37","3.48"
"12320","2.78","8.37","3.84"
"12321","2.44","8.37","3.57"
"12322","3.47","8.37","4.07"
"12323","3.47","8.37","4.07"
"12324","3.47","8.37","4.07"
"12325","3.47","8.37","4.07"
"12326","3.47","8.37","4.07"
"12327","3.47","8.37","4.07"
"12328","3.47","8.37","4.07"
"12329","3.47","8.37","4.07"
"12330","3.47","8.37","4.07"
"12331","3.47","8.37","4.07"
"12332","3.47","8.37","4.07"
"12333","3.47","8.37","4.07"
"12334","3.47","8.37","4.07"
"12335","3.47","8.37","4.07"
"12336","3.47","8.37","4.07"
"12337","3.47","8.37","4.07"
"12338","3.47","8.37","4.07"
"12339","3.47","8.37","4.07"
"12340","3.47","8.37","4.07"
"12341","4.27","9.02","3.87"
"12342","4.27","9.02","3.87"
"12343","4.27","9.02","3.87"
"12344","4.27","9.02","3.87"
"12345","4.27","9.02","3.87"
"12346","4.27","9.02","3.87"
"12347","4.27","9.02","3.87"
"12348","4.27","9.02","3.87"
"12349","4.27","9.02","3.87"
"12350","4.27","9.02","3.87"
"12351","4.27","9.02","3.87"
"12352","4.27","9.02","3.87"
"12353","4.27","9.02","3.87"
"12354","4.27","9.02","3.87"
"12355","4.27","9.02","3.87"
"12356","4.27","9.02","3.87"
"12357","4.27","9.02","3.87"
"12358","4.27","9.02","3.87"
"12359","4.27","9.02","3.87"
"12360","4.27","9.02","3.87"
"12361","4.27","9.02","3.87"
"12362","4.27","9.02","3.87"
"12363","4.27","9.02","3.87"
"12364","4.27","9.02","3.87"
"12365","4.27","9.02","3.87"
"12366","4.27","9.02","3.87"
"12367","4.27","9.02","3.87"
"12368","4.27","9.02","3.87"
"12369","4.27","9.02","3.87"
"12370","4.27","9.02","3.87"
"12371","4.27","9.02","3.87"
"12372","4.27","9.02","3.87"
"12373","4.27","9.02","3.87"
"12374","4.27","9.02","3.87"
"12375","4.27","9.02","3.87"
"12376","4.27","9.02","3.87"
"12377","4.27","9.02","3.87"
"12378","4.27","9.02","3.87"
"12379","4.27","9.02","3.87"
"12380","4.27","9.02","3.87"
"12381","4.27","9.02","3.87"
"12382","4.27","9.02","3.87"
"12383","4.27","9.02","3.87"
"12384","4.27","9.02","3.87"
"12385","4.27","9.02","3.87"
"12386","4.27","9.02","3.87"
"12387","4.27","9.02","3.87"
"12388","4.27","9.02","3.87"
"12389","4.27","9.02","3.87"
"12390","4.27","9.02","3.87"
"12391","4.27","9.02","3.87"
"12392","4.27","9.02","3.87"
"12393","4.27","9.02","3.87"
"12394","4.27","9.02","3.87"
"12395","4.27","9.02","3.87"
"12396","4.27","9.02","3.87"
"12397","4.27","9.02","3.87"
"12398","4.27","9.02","3.87"
"12399","4.27","9.02","3.87"
"12400","4.27","9.02","3.87"
"12401","4.27","9.02","3.87"
"12402","4.27","9.02","3.87"
"12403","4.27","9.02","3.87"
"12404","4.27","9.02","3.87"
"12405","4.27","9.02","3.87"
"12406","4.27","9.02","3.87"
"12407","4.27","9.02","3.87"
"12408","4.27","9.02","3.87"
"12409","4.27","9.02","3.87"
"12410","4.27","9.02","3.87"
"12411","4.27","9.02","3.87"
"12412","4.27","9.02","3.87"
"12413","4.27","9.02","3.87"
"12414","4.27","9.02","3.87"
"12415","4.27","9.02","3.87"
"12416","4.27","9.02","3.87"
"12417","4.27","9.02","3.87"
"12418","4.27","9.02","3.87"
"12419","4.27","9.02","3.87"
"12420","4.27","9.02","3.87"
"12421","4.27","9.02","3.87"
"12422","4.27","9.02","3.87"
"12423","4.27","9.02","3.87"
"12424","4.27","9.02","3.87"
"12425","4.27","9.02","3.87"
"12426","4.27","9.02","3.87"
"12427","4.27","9.02","3.87"
"12428","4.27","9.02","3.87"
"12429","4.27","9.02","3.87"
"12430","4.27","9.02","3.87"
"12431","4.27","9.02","3.87"
"12432","4.27","9.02","3.87"
"12433","4.27","9.02","3.87"
"12434","4.27","9.02","3.87"
"12435","4.27","9.02","3.87"
"12436","4.27","9.02","3.87"
"12437","4.27","9.02","3.87"
"12438","4.27","9.02","3.87"
"12439","4.27","9.02","3.87"
"12440","4.27","9.02","3.87"
"12441","4.27","9.02","3.87"
"12442","4.27","9.02","3.87"
"12443","4.27","9.02","3.87"
"12444","4.27","9.02","3.87"
"12445","4.27","9.02","3.87"
"12446","4.27","9.02","3.87"
"12447","4.27","9.02","3.87"
"12448","4.27","9.02","3.87"
"12449","4.27","9.02","3.87"
"12450","4.27","9.02","3.87"
"12451","4.27","9.02","3.87"
"12452","4.27","9.02","3.87"
"12453","4.27","9.02","3.87"
"12454","4.27","9.02","3.87"
"12455","4.27","9.02","3.87"
"12456","4.27","9.02","3.87"
"12457","4.27","9.02","3.87"
"12458","4.27","9.02","3.87"
"12459","4.27","9.02","3.87"
"12460","4.27","9.02","3.87"
"12461","4.27","9.02","3.87"
"12462","4.27","9.02","3.87"
"12463","4.27","9.02","3.87"
"12464","3.87","8.37","4.12"
"12465","3.87","8.37","4.12"
"12466","3.4","8.5","3.9"
"12467","3.4","8.4","3.9"
"12468","3.6","8.6","3.7"
"12469","3.7","8.7","3.8"
"12470","3.36","8.37","3.8"
"12471","1.82","8.37","3.7"
"12472","4.3","9","3.9"
"12473","3.9","9.02","3.87"
"12474","4","9","4"
"12475","4","9","4"
"12476","3.8","8.4","4"
"12477","4","9","4"
"12478","3.9","9","3.9"
"12479","4","9","4"
"12480","1.8","8.8","3.8"
"12481","4","9","4"
"12482","4","9","4"
"12483","4","9","4"
"12484","3.46","8.8","3.9"
"12485","4.3","8.6","3.8"
"12486","4","9","4"
"12487","3.6","8.8","3.7"
"12488","4.1","8.79","3.8"
"12489","4","9","4"
"12490","3.36","8.37","3.9"
"12491","4","9","4"
"12492","4","9","4"
"12493","4","9","4"
"12494","3.4","8.4","3.7"
"12495","","8.37","3.87"
"12496","","","3.6"
"12497","3.4","8.4","3.8"
"12498","4","9","4"
"12499","3.6","8.6","3.9"
"12500","4","9","4"
"12501","3.5","8.8","3.9"
"12502","4","0","3.87"
"12503","4","9","4"
"12504","4","9","4"
"12505","0","0","3.68"
"12506","0","0","3.68"
"12507","3.36","8.37","3.8"
"12508","3.36","8.37","3.8"
"12509","4.27","8.8","3.7"
"12510","3.4","8.4","3.8"
"12511","3.6","8.7","3.7"
"12512","3.4","8.6","3.8"
"12513","4.1","9","2.9"
"12514","4.27","9.02","3.87"
"12515","2.8","8.8","4"
"12516","2.78","8.37","4.03"
"12517","3.3","8.4","4.1"
"12518","3.7","8.7","3.9"
"12519","3.1","8.4","4.1"
"12520","2.9","8.8","4"
