"id","description","last_updated"
"167551","Snacks, popcorn, caramel-coated, with peanuts","2019-04-01"
"167552","Snacks, popcorn, caramel-coated, without peanuts","2019-04-01"
"167553","Snacks, potato chips, made from dried potatoes, reduced fat","2019-04-01"
"167554","Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor","2019-04-01"
"167555","Snacks, pretzels, hard, plain, salted","2019-04-01"
"167556","Snacks, pretzels, hard, confectioner's coating, chocolate-flavor","2019-04-01"
"167557","Snacks, rice cakes, brown rice, sesame seed","2019-04-01"
"167558","Snacks, tortilla chips, plain, white corn, salted","2019-04-01"
"167559","Snacks, tortilla chips, nacho cheese","2019-04-01"
"167560","Snacks, tortilla chips, ranch-flavor","2019-04-01"
"167561","Snacks, trail mix, regular","2019-04-01"
"167562","Candies, ALMOND JOY Candy Bar","2019-04-01"
"167563","Candies, TWIZZLERS CHERRY BITES","2019-04-01"
"167564","Candies, NESTLE, BIT-O'-HONEY Candy Chews","2019-04-01"
"167565","Candies, NESTLE, BUTTERFINGER Bar","2019-04-01"
"167566","Candies, caramels, chocolate-flavor roll","2019-04-01"
"167567","Baking chocolate, unsweetened, liquid","2019-04-01"
"167568","Baking chocolate, unsweetened, squares","2019-04-01"
"167569","Candies, confectioner's coating, yogurt","2019-04-01"
"167570","Candies, confectioner's coating, peanut butter","2019-04-01"
"167571","Candies, white chocolate","2019-04-01"
"167572","Ice creams, vanilla, light","2019-04-01"
"167573","Ice creams, vanilla, rich","2019-04-01"
"167574","Desserts, flan, caramel custard, prepared-from-recipe","2019-04-01"
"167575","Ice creams, vanilla","2019-04-01"
"167576","Ice creams, vanilla, light, soft-serve","2019-04-01"
"167577","Sherbet, orange","2019-04-01"
"167578","Candies, fudge, peanut butter, prepared-from-recipe","2019-04-01"
"167579","Candies, fudge, vanilla, prepared-from-recipe","2019-04-01"
"167580","Candies, fudge, vanilla with nuts","2019-04-01"
"167581","Candies, NESTLE, GOOBERS Chocolate Covered Peanuts","2019-04-01"
"167582","Candies, NESTLE, BABY RUTH Bar","2019-04-01"
"167583","Candies, TWIZZLERS Strawberry Twists Candy","2019-04-01"
"167584","Syrups, table blends, pancake, with butter","2019-04-01"
"167585","Ice creams, chocolate, light","2019-04-01"
"167586","Candies, NESTLE, CHUNKY Bar","2019-04-01"
"167587","Candies, milk chocolate","2019-04-01"
"167588","Puddings, banana, dry mix, instant, prepared with 2% milk","2019-04-01"
"167589","Puddings, banana, dry mix, regular, prepared with 2% milk","2019-04-01"
"167590","Andrea's, Gluten Free Soft Dinner Roll","2019-04-01"
"167591","Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free","2019-04-01"
"167592","Glutino, Gluten Free Cookies, Chocolate Vanilla Creme","2019-04-01"
"167593","Glutino, Gluten Free Cookies, Vanilla Creme","2019-04-01"
"167594","Pepperidge Farm, Goldfish, Baked Snack Crackers, Original","2019-04-01"
"167595","Pepperidge Farm, Goldfish, Baked Snack Crackers, Parmesan","2019-04-01"
"167596","Pepperidge Farm, Goldfish, Baked Snack Crackers, Pizza","2019-04-01"
"167597","Rudi's, Gluten-Free Bakery, Original Sandwich Bread","2019-04-01"
"167598","Udi's, Gluten Free, Soft & Delicious White Sandwich Bread","2019-04-01"
"167599","Udi's, Gluten Free, Soft & Hearty Whole Grain Bread","2019-04-01"
"167600","Udi's, Gluten Free, Whole Grain Dinner Rolls","2019-04-01"
"167601","Van's, Gluten Free, Totally Original Pancakes","2019-04-01"
"167602","Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry","2019-04-01"
"167603","Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated","2019-04-01"
"167604","Potatoes, hash brown, refrigerated, unprepared","2019-04-01"
"167605","Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil","2019-04-01"
"167606","Sweet Potatoes, french fried, frozen as packaged, salt added in processing","2019-04-01"
"167607","Moose, meat, raw (Alaska Native)","2019-04-01"
"167608","Mashu roots, raw (Alaska Native)","2019-04-01"
"167609","Moose, liver, braised (Alaska Native)","2019-04-01"
"167610","Seal, bearded (Oogruk), meat, raw (Alaska Native)","2019-04-01"
"167611","Oil, bearded seal (Oogruk) (Alaska Native)","2019-04-01"
"167612","Oopah (tunicate), whole animal (Alaska Native)","2019-04-01"
"167613","Owl, horned, flesh, raw (Alaska Native)","2019-04-01"
"167614","Fish, salmon, king, chinook, smoked and canned (Alaska Native)","2019-04-01"
"167615","Fish, salmon, king, chinook, smoked, brined (Alaska Native)","2019-04-01"
"167616","Fish, salmon, king, chinook, liver (Alaska Native)","2019-04-01"
"167617","Duck, scoter, white-winged, meat (Alaska Native)","2019-04-01"
"167618","Sea cucumber, yane (Alaska Native)","2019-04-01"
"167619","Squirrel, ground, meat (Alaska Native)","2019-04-01"
"167620","Tea, tundra, herb and laborador combination (Alaska Native)","2019-04-01"
"167621","Walrus, meat, dried (Alaska Native)","2019-04-01"
"167622","Deer (venison), sitka, raw (Alaska Native)","2019-04-01"
"167623","Whale, bowhead, subcutaneous fat (blubber) (Alaska Native)","2019-04-01"
"167624","Whale, bowhead, skin and subcutaneous fat (muktuk) (Alaska Native)","2019-04-01"
"167625","Oil, whale, bowhead (Alaska Native)","2019-04-01"
"167626","Fish, whitefish, broad, liver (Alaska Native)","2019-04-01"
"167627","Mush, blue corn with ash (Navajo)","2019-04-01"
"167628","Cornmeal, blue (Navajo)","2019-04-01"
"167629","Melon, banana (Navajo)","2019-04-01"
"167630","Chilchen (Red Berry Beverage) (Navajo)","2019-04-01"
"167631","Corn, dried (Navajo)","2019-04-01"
"167632","Squash, Indian, cooked, boiled (Navajo)","2019-04-01"
"167633","Bread, kneel down (Navajo)","2019-04-01"
"167634","Mutton, cooked, roasted (Navajo)","2019-04-01"
"167635","Frybread, made with lard (Navajo)","2019-04-01"
"167636","Tamales (Navajo)","2019-04-01"
"167637","Stew, steamed corn (Navajo)","2019-04-01"
"167638","Fish, halibut, raw, with skin (Alaska Native)","2019-04-01"
"167639","Fish, salmon, coho (silver), raw (Alaska Native)","2019-04-01"
"167640","Blueberries, wild, raw (Alaska Native)","2019-04-01"
"167641","Oil, spotted seal (Alaska Native)","2019-04-01"
"167642","Fish, salmon, red, canned, bones removed (Alaska Native)","2019-04-01"
"167643","Fish, whitefish, eggs (Alaska Native)","2019-04-01"
"167644","Caribou, rump meat, half dried (Alaska Native)","2019-04-01"
"167645","Fish, salmon, red, (sockeye), canned, smoked (Alaska Native)","2019-04-01"
"167646","Fish, salmon, red, (sockeye), kippered (Alaska Native)","2019-04-01"
"167647","Fish, salmon, king, with skin, kippered, (Alaska Native)","2019-04-01"
"167648","Fish, sheefish, raw (Alaska Native)","2019-04-01"
"167649","Buffalo, free range, top round steak, raw (Shoshone Bannock)","2019-04-01"
"167650","Seal, bearded (Oogruk), meat, partially dried (Alaska Native)","2019-04-01"
"167651","Buffalo, free range, top round steak, cooked (Shoshone Bannock)","2019-04-01"
"167652","Elk, free range, roast, eye of round, raw (Shoshone Bannock)","2019-04-01"
"167653","Corn, dried, yellow (Northern Plains Indians)","2019-04-01"
"167654","Smelt, dried (Alaska Native)","2019-04-01"
"167655","Frybread, made with lard (Apache)","2019-04-01"
"167656","Corned beef and potatoes in tortilla (Apache)","2019-04-01"
"167657","ON THE BORDER, soft taco with ground beef, cheese and lettuce","2019-04-01"
"167658","Restaurant, Mexican, soft taco with ground beef, cheese and lettuce","2019-04-01"
"167659","Restaurant, Latino, chicken and rice, entree, prepared","2019-04-01"
"167660","Restaurant, Latino, empanadas, beef, prepared","2019-04-01"
"167661","Restaurant, Latino, pupusas con frijoles (pupusas, bean)","2019-04-01"
"167662","Restaurant, Latino, pupusas con queso (pupusas, cheese)","2019-04-01"
"167663","Restaurant, Latino, pupusas del cerdo (pupusas, pork)","2019-04-01"
"167664","Restaurant, Latino, tamale, corn","2019-04-01"
"167665","Restaurant, Mexican, spanish rice","2019-04-01"
"167666","Restaurant, Mexican, refried beans","2019-04-01"
"167667","Restaurant, Chinese, egg rolls, assorted","2019-04-01"
"167668","Restaurant, Chinese, fried rice, without meat","2019-04-01"
"167669","CRACKER BARREL, steak fries","2019-04-01"
"167670","CRACKER BARREL, grilled sirloin steak","2019-04-01"
"167671","CRACKER BARREL, macaroni n' cheese plate, from kid's menu","2019-04-01"
"167672","DENNY'S, french fries","2019-04-01"
"167673","DENNY'S, top sirloin steak","2019-04-01"
"167674","Restaurant, Chinese, lemon chicken","2019-04-01"
"167675","Restaurant, Chinese, general tso's chicken","2019-04-01"
"167676","Restaurant, Chinese, kung pao chicken","2019-04-01"
"167677","Restaurant, Chinese, vegetable lo mein, without meat","2019-04-01"
"167678","Restaurant, Chinese, chicken and vegetables","2019-04-01"
"167679","Restaurant, Chinese, orange chicken","2019-04-01"
"167680","Restaurant, Italian, spaghetti with meat sauce","2019-04-01"
"167681","Beverages, fruit-flavored drink, dry powdered mix, low calorie, with aspartame","2019-04-01"
"167682","Pectin, liquid","2019-04-01"
"167683","Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated","2019-04-01"
"167684","Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie","2019-04-01"
"167685","Bologna, beef and pork, low fat","2019-04-01"
"167686","Milk dessert, frozen, milk-fat free, chocolate","2019-04-01"
"167687","Whipped topping, frozen, low fat","2019-04-01"
"167688","Cream substitute, powdered, light","2019-04-01"
"167689","Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies","2019-04-01"
"167690","Babyfood, apple yogurt dessert, strained","2019-04-01"
"167691","Vegetable oil-butter spread, reduced calorie","2019-04-01"
"167692","Salad dressing, blue or roquefort cheese dressing, light","2019-04-01"
"167693","Salad dressing, french dressing, reduced calorie","2019-04-01"
"167694","Sausage, turkey and pork, fresh, bulk, patty or link, cooked","2019-04-01"
"167695","Mayonnaise, made with tofu","2019-04-01"
"167696","Frankfurter, beef, low fat","2019-04-01"
"167697","Milk, buttermilk, fluid, cultured, reduced fat","2019-04-01"
"167698","Pork sausage rice links, brown and serve, cooked","2019-04-01"
"167699","Salad dressing, blue or roquefort cheese dressing, fat-free","2019-04-01"
"167700","Salad Dressing, mayonnaise-like, fat-free","2019-04-01"
"167701","Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar","2019-04-01"
"167702","Oil, flaxseed, cold pressed","2019-04-01"
"167703","Cheese, cottage, lowfat, 1% milkfat, lactose reduced","2019-04-01"
"167704","Salad dressing, bacon and tomato","2019-04-01"
"167705","Cheese, parmesan, low sodium","2019-04-01"
"167706","Jams, preserves, marmalade, reduced sugar","2019-04-01"
"167707","Beverages, fruit-flavored drink, powder, with high vitamin C with other added vitamins, low calorie","2019-04-01"
"167708","Tomato and vegetable juice, low sodium","2019-04-01"
"167709","Turkey, wing, smoked, cooked, with skin, bone removed","2019-04-01"
"167710","Turkey, drumstick, smoked, cooked, with skin, bone removed","2019-04-01"
"167711","Beverages, Chocolate-flavored drink, whey and milk based","2019-04-01"
"167712","Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium","2019-04-01"
"167713","Turkey, light or dark meat, smoked, cooked, skin and bone removed","2019-04-01"
"167714","Hearts of palm, raw","2019-04-01"
"167715","Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size","2019-04-01"
"167716","Cheese, cottage, lowfat, 1% milkfat, with vegetables","2019-04-01"
"167717","Yeast extract spread","2019-04-01"
"167718","Babyfood, juice, pear","2019-04-01"
"167719","Chicken, meatless, breaded, fried","2019-04-01"
"167720","Babyfood, meat, beef with vegetables, toddler","2019-04-01"
"167721","Frozen novelties, juice type, juice with cream","2019-04-01"
"167722","Tofu yogurt","2019-04-01"
"167723","Alcoholic beverage, rice (sake)","2019-04-01"
"167724","Millet, puffed","2019-04-01"
"167725","Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY","2019-04-01"
"167726","Babyfood, mixed fruit yogurt, strained","2019-04-01"
"167727","Beverages, ABBOTT, ENSURE PLUS, ready-to-drink","2019-04-01"
"167728","Babyfood, rice and apples, dry","2019-04-01"
"167729","Babyfood, juice, apple - cherry","2019-04-01"
"167730","Milk, imitation, non-soy","2019-04-01"
"167731","Babyfood, cereal, rice with pears and apple, dry, instant fortified","2019-04-01"
"167732","Babyfood, banana no tapioca, strained","2019-04-01"
"167733","Babyfood, banana apple dessert, strained","2019-04-01"
"167734","Breakfast bar, corn flake crust with fruit","2019-04-01"
"167735","Cheese, mozzarella, low sodium","2019-04-01"
"167736","Mayonnaise dressing, no cholesterol","2019-04-01"
"167737","Oil, corn, peanut, and olive","2019-04-01"
"167738","Pie fillings, blueberry, canned","2019-04-01"
"167739","Beverages, Cocktail mix, non-alcoholic, concentrated, frozen","2019-04-01"
"167740","Puddings, chocolate flavor, low calorie, regular, dry mix","2019-04-01"
"167741","Puddings, all flavors except chocolate, low calorie, regular, dry mix","2019-04-01"
"167742","Mollusks, scallop, (bay and sea), cooked, steamed","2019-04-01"
"167743","Syrup, Cane","2019-04-01"
"167744","Mollusks, snail, raw","2019-04-01"
"167745","Turtle, green, raw","2019-04-01"
"167746","Lemons, raw, without peel","2019-04-01"
"167747","Lemon juice, raw","2019-04-01"
"167748","Lemon juice from concentrate, canned or bottled","2019-04-01"
"167749","Lemon peel, raw","2019-04-01"
"167750","Prickly pears, raw","2019-04-01"
"167751","Plums, dried (prunes), stewed, without added sugar","2019-04-01"
"167752","Plums, dried (prunes), stewed, with added sugar","2019-04-01"
"167753","Prune juice, canned","2019-04-01"
"167754","Pummelo, raw","2019-04-01"
"167755","Raspberries, raw","2019-04-01"
"167756","Raspberries, canned, red, heavy syrup pack, solids and liquids","2019-04-01"
"167757","Raspberries, frozen, red, sweetened","2019-04-01"
"167758","Rhubarb, raw","2019-04-01"
"167759","Sapodilla, raw","2019-04-01"
"167760","Sapote, mamey, raw","2019-04-01"
"167761","Soursop, raw","2019-04-01"
"167762","Strawberries, raw","2019-04-01"
"167763","Tamarinds, raw","2019-04-01"
"167764","Fruit salad, (pineapple and papaya and banana and guava), tropical, canned, heavy syrup, solids and liquids","2019-04-01"
"167765","Watermelon, raw","2019-04-01"
"167766","Maraschino cherries, canned, drained","2019-04-01"
"167767","Pineapple, canned, juice pack, drained","2019-04-01"
"167768","Apricots, canned, heavy syrup, drained","2019-04-01"
"167769","Cherries, sour, canned, water pack, drained","2019-04-01"
"167770","Cherries, sweet, canned, pitted, heavy syrup, drained","2019-04-01"
"167771","Apple juice, canned or bottled, unsweetened, with added ascorbic acid","2019-04-01"
"167772","Applesauce, canned, unsweetened, with added ascorbic acid","2019-04-01"
"167773","Applesauce, canned, sweetened, with salt","2019-04-01"
"167774","Grapefruit juice, pink, raw","2019-04-01"
"167775","Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid","2019-04-01"
"167776","Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)","2019-04-01"
"167777","Pears, raw, red anjou","2019-04-01"
"167778","Pears, raw, bosc (Includes foods for USDA's Food Distribution Program)","2019-04-01"
"167779","Pears, raw, green anjou (Includes foods for USDA's Food Distribution Program)","2019-04-01"
"167780","Prune puree","2019-04-01"
"167781","Candied fruit","2019-04-01"
"167782","Abiyuch, raw","2019-04-01"
"167783","Rowal, raw","2019-04-01"
"167784","Guava nectar, canned, with added ascorbic acid","2019-04-01"
"167785","Mango nectar, canned","2019-04-01"
"167786","Tamarind nectar, canned","2019-04-01"
"167787","Pomegranate juice, bottled","2019-04-01"
"167788","Nance, canned, syrup, drained","2019-04-01"
"167789","Nance, frozen, unsweetened","2019-04-01"
"167790","Naranjilla (lulo) pulp, frozen, unsweetened","2019-04-01"
"167791","Horned melon (Kiwano)","2019-04-01"
"167792","Orange Pineapple Juice Blend","2019-04-01"
"167793","Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)","2019-04-01"
"167794","Orange juice, chilled, includes from concentrate, with added calcium and vitamins A, D, E","2019-04-01"
"167795","Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO","2019-04-01"
"167796","Fruit juice smoothie, NAKED JUICE, GREEN MACHINE","2019-04-01"
"167797","Fruit juice smoothie, BOLTHOUSE FARMS, BERRY BOOST","2019-04-01"
"167798","Fruit juice smoothie, BOLTHOUSE FARMS, GREEN GOODNESS","2019-04-01"
"167799","Fruit juice smoothie, BOLTHOUSE FARMS, strawberry banana","2019-04-01"
"167800","Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium","2019-04-01"
"167801","Lemon juice from concentrate, bottled, CONCORD","2019-04-01"
"167802","Lemon juice from concentrate, bottled, REAL LEMON","2019-04-01"
"167803","Cranberry sauce, whole, canned, OCEAN SPRAY","2019-04-01"
"167804","Cranberry sauce, jellied, canned, OCEAN SPRAY","2019-04-01"
"167805","Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C","2019-04-01"
"167806","Baobab powder","2019-04-01"
"167807","Cherry juice, tart","2019-04-01"
"167808","Raspberries, puree, seedless","2019-04-01"
"167809","Raspberries, puree, with seeds","2019-04-01"
"167810","Pork, fresh, composite of trimmed leg, loin, shoulder, and spareribs, (includes cuts to be cured), separable lean and fat, raw","2019-04-01"
"167811","Pork, fresh, backfat, raw","2019-04-01"
"167812","Pork, fresh, belly, raw","2019-04-01"
"167813","Pork, fresh, separable fat, raw","2019-04-01"
"167814","Pork, fresh, leg (ham), rump half, separable lean and fat, raw","2019-04-01"
"167815","Pork, fresh, leg (ham), rump half, separable lean and fat, cooked, roasted","2019-04-01"
"167816","Pork, fresh, leg (ham), rump half, separable lean only, raw (Includes foods for USDA's Food Distribution Program)","2019-04-01"
"167817","Pork, fresh, leg (ham), rump half, separable lean only, cooked, roasted","2019-04-01"
"167818","Pork, fresh, loin, whole, separable lean and fat, raw","2019-04-01"
"167819","Pork, fresh, loin, whole, separable lean and fat, cooked, braised","2019-04-01"
"167820","Pork, fresh, loin, whole, separable lean and fat, cooked, broiled","2019-04-01"
"167821","Pork, fresh, loin, whole, separable lean and fat, cooked, roasted","2019-04-01"
"167822","Pork, fresh, loin, blade (chops or roasts), bone-in, separable lean and fat, raw","2019-04-01"
"167823","Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, braised","2019-04-01"
"167824","Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, broiled","2019-04-01"
"167825","Pork, fresh, loin, blade (roasts), bone-in, separable lean and fat, cooked, roasted","2019-04-01"
"167826","Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, braised","2019-04-01"
"167827","Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, broiled","2019-04-01"
"167828","Pork, fresh, loin, center loin (roasts), bone-in, separable lean and fat, cooked, roasted","2019-04-01"
"167829","Pork, fresh, loin, center loin (chops), bone-in, separable lean only, raw","2019-04-01"
"167830","Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat, cooked, braised","2019-04-01"
"167831","Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat, cooked, broiled","2019-04-01"
"167832","Pork, fresh, loin, center rib (roasts), bone-in, separable lean and fat, cooked, roasted","2019-04-01"
"167833","Pork, fresh, loin, center rib (chops or roasts), bone-in, separable lean only, raw","2019-04-01"
"167834","Pork, fresh, loin, sirloin (chops), bone-in, separable lean and fat, cooked, braised","2019-04-01"
"167835","Pork, fresh, loin, sirloin (chops), bone-in, separable lean and fat, cooked, broiled","2019-04-01"
"167836","Pork, fresh, loin, sirloin (roasts), bone-in, separable lean and fat, cooked, roasted","2019-04-01"
"167837","Pork, fresh, loin, sirloin (chops or roasts), bone-in, separable lean only, raw","2019-04-01"
"167838","Pork, fresh, loin, sirloin (chops), bone-in, separable lean only, cooked, braised","2019-04-01"
"167839","Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw","2019-04-01"
"167840","Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, braised","2019-04-01"
"167841","Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, broiled","2019-04-01"
"167842","Pork, fresh, loin, top loin (roasts), boneless, separable lean and fat, cooked, roasted","2019-04-01"
"167843","Pork, fresh, shoulder, whole, separable lean and fat, raw","2019-04-01"
"167844","Pork, fresh, shoulder, whole, separable lean and fat, cooked, roasted","2019-04-01"
"167845","Pork, fresh, shoulder, whole, separable lean only, raw","2019-04-01"
"167846","Pork, fresh, shoulder, whole, separable lean only, cooked, roasted","2019-04-01"
"167847","Pork, fresh, shoulder, arm picnic, separable lean only, cooked, braised","2019-04-01"
"167848","Pork, fresh, shoulder, arm picnic, separable lean only, cooked, roasted","2019-04-01"
"167849","Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, raw","2019-04-01"
"167850","Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, cooked, braised","2019-04-01"
"167851","Pork, fresh, shoulder, blade, boston (steaks), separable lean and fat, cooked, broiled","2019-04-01"
"167852","Pork, fresh, shoulder, blade, boston (roasts), separable lean only, cooked, roasted","2019-04-01"
"167853","Pork, fresh, spareribs, separable lean and fat, raw","2019-04-01"
"167854","Pork, fresh, spareribs, separable lean and fat, cooked, braised","2019-04-01"
"167855","Pork, fresh, composite of trimmed retail cuts (leg, loin, and shoulder), separable lean only, cooked","2019-04-01"
"167856","Pork, fresh, variety meats and by-products, chitterlings, cooked, simmered","2019-04-01"
"167857","Pork, fresh, variety meats and by-products, ears, frozen, raw","2019-04-01"
"167858","Pork, fresh, variety meats and by-products, ears, frozen, cooked, simmered","2019-04-01"
"167859","Pork, fresh, variety meats and by-products, feet, raw","2019-04-01"
"167860","Pork, fresh, variety meats and by-products, kidneys, cooked, braised","2019-04-01"
"167861","Pork, fresh, variety meats and by-products, leaf fat, raw","2019-04-01"
"167862","Pork, fresh, variety meats and by-products, liver, raw","2019-04-01"
"167863","Pork, fresh, variety meats and by-products, liver, cooked, braised","2019-04-01"
"167864","Pork, fresh, variety meats and by-products, lungs, raw","2019-04-01"
"167865","Pork, fresh, variety meats and by-products, spleen, raw","2019-04-01"
"167866","Pork, fresh, variety meats and by-products, spleen, cooked, braised","2019-04-01"
"167867","Pork, fresh, variety meats and by-products, stomach, raw","2019-04-01"
"167868","Pork, fresh, loin, blade (chops), bone-in, separable lean only, cooked, pan-fried","2019-04-01"
"167869","Canadian bacon, unprepared","2019-04-01"
"167870","Pork, cured, feet, pickled","2019-04-01"
"167871","Pork, cured, ham, boneless, extra lean (approximately 5% fat), roasted","2019-04-01"
"167872","Pork, cured, ham, boneless, regular (approximately 11% fat), roasted","2019-04-01"
"167873","Pork, cured, ham, patties, unheated","2019-04-01"
"167874","Pork, cured, ham, steak, boneless, extra lean, unheated","2019-04-01"
"167875","Pork, cured, ham, whole, separable lean and fat, unheated","2019-04-01"
"167876","Pork, cured, ham, whole, separable lean only, unheated","2019-04-01"
"167877","Pork, cured, separable fat (from ham and arm picnic), unheated","2019-04-01"
"167878","Pork, cured, separable fat (from ham and arm picnic), roasted","2019-04-01"
"167879","Pork, cured, shoulder, arm picnic, separable lean and fat, roasted","2019-04-01"
"167880","Pork, cured, shoulder, arm picnic, separable lean only, roasted","2019-04-01"
"167881","Pork, fresh, variety meats and by-products, tail, cooked, simmered","2019-04-01"
"167882","Pork, fresh, loin, center loin (chops), bone-in, separable lean only, cooked, pan-fried","2019-04-01"
"167883","Pork, fresh, loin, center rib (chops), bone-in, separable lean only, cooked, pan-fried","2019-04-01"
"167884","Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, pan-fried","2019-04-01"
"167885","Pork, cured, ham, extra lean and regular, canned, unheated","2019-04-01"
"167886","Pork, cured, ham, extra lean and regular, canned, roasted","2019-04-01"
"167887","Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, pan-fried","2019-04-01"
"167888","Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder, and spareribs), separable lean and fat, raw","2019-04-01"
"167889","Pork, fresh, loin, center rib (chops or roasts), boneless, separable lean and fat, raw","2019-04-01"
"167890","Pork, fresh, loin, center rib (chops), boneless, separable lean and fat, cooked, braised","2019-04-01"
"167891","Pork, fresh, loin, center rib (chops), boneless, separable lean and fat, cooked, broiled","2019-04-01"
"167892","Pork, fresh, loin, center rib (chops), boneless, separable lean and fat, cooked, pan-fried","2019-04-01"
"167893","Pork, fresh, loin, center rib (chops), boneless, separable lean only, cooked, pan-fried","2019-04-01"
"167894","Pork, fresh, loin, center rib (roasts), boneless, separable lean only, cooked, roasted","2019-04-01"
"167895","Pork, fresh, loin, country-style ribs, separable lean and fat, raw","2019-04-01"
"167896","Pork, fresh, loin, country-style ribs, separable lean and fat, cooked, braised","2019-04-01"
"167897","Pork, fresh, loin, country-style ribs, separable lean and fat, bone-in, cooked, roasted","2019-04-01"
"167898","Pork, fresh, loin, sirloin (chops), boneless, separable lean and fat, cooked, braised","2019-04-01"
"167899","Pork, fresh, loin, sirloin (chops), boneless, separable lean and fat, cooked, broiled","2019-04-01"
