"","nutrient","food_name","nutrient_units","value","relevance","data_type"
"94","Vitamin C","Poultry","mg",0,2,"USDA_name"
"95","Vitamin C","Beef","mg",0,2,"USDA_name"
"96","Vitamin C","Pork","mg",0,2,"USDA_name"
"97","Vitamin E","Poultry","mg",0.26,2,"USDA_name"
"98","Vitamin E","Beef","mg",0.22,2,"USDA_name"
"99","Vitamin E","Pork","mg",0.19,2,"USDA_name"
"100","Vitamin K","Poultry","ug",2.4,1,"USDA_name"
"101","Vitamin K","Pork","ug",0,1,"USDA_name"
"102","Vitamin K","Beef","ug",1.5,1,"USDA_name"
"103","Zinc","Beef","mg",4.16,3,"USDA_name"
"104","Zinc","Pork","mg",1.93,3,"USDA_name"
"105","Zinc","Poultry","mg",1.47,3,"USDA_name"
